,0
age,0.07384957045270513
gender,0.0004429081512610187
height,0.003151406451020855
weight,0.06331715673456165
ap_hi,0.48128856816646925
ap_lo,0.2400151328274212
smoke,0.0011400648883816676
alco,0.0003041043537835452
active,0.0026310891168772523
polychlorinated_biphenyls,0.00024550493958132313
bisphenol_a,0.00019247981539306216
organochlorine_pesticide,0.0001040207711698268
phthalate,0.00011624917334674857
cholesterol_1,0.05633515083467333
cholesterol_2,0.010684762272991873
cholesterol_3,0.05151380000789453
gluc_1,0.006567508896635566
gluc_2,0.0020493960888138627
gluc_3,0.006051126057018401

